Latitud,Longitud,Tipo Vegetación,Duración días,Tipo impacto
15.678056,-92.97766667,14,7.0,2
17.387861,-98.29502778,1,4.0,2
21.50025,-99.29561111,1,4.0,2
20.891056,-103.5482222,1,1.0,1
20.1085,-98.22916667,1,4.0,3
26.112444,-106.623725,1,4.0,2
19.237222,-100.0533611,1,1.0,2
19.5965,-99.39055556,1,1.0,3
19.156922,-99.09081389,1,1.0,1
17.406725,-97.02457222,13,2.0,2
19.433139,-98.63261111,1,1.0,1
15.15475,-92.74658056,1,2.0,2
16.426167,-97.11219444,1,4.0,3
18.966833,-99.29113889,1,1.0,1
19.125628,-100.141075,1,1.0,3
16.03458333,-96.06393333,14,1.0,2
20.040056,-90.33994444,13,7.0,2
19.113028,-99.22344444,1,1.0,1
19.318028,-98.68358333,1,1.0,1
22.001778,-100.9834306,1,7.0,3
18.66472778,-100.1860389,1,1.0,2
27.132347,-107.2412139,1,2.0,2
19.648583,-99.40766667,1,1.0,1
19.070333,-99.3955,1,1.0,2
27.540778,-108.0007222,1,1.0,1
25.489992,-100.463675,1,7.0,2
19.352489,-98.68751944,1,1.0,2
15.287556,-92.94655278,15,2.0,2
16.879444,-92.75361111,1,2.0,2
15.956806,-96.06495556,13,4.0,1
19.233944,-99.45144444,1,1.0,2
20.81487,-98.78580444,1,2.0,2
19.731472,-99.54,1,1.0,2
19.33195,-100.2168444,1,1.0,2
19.561869,-98.809675,1,1.0,1
18.883056,-99.80775,1,1.0,2
19.473778,-99.399,1,2.0,2
19.277667,-99.43513889,1,1.0,2
15.624633,-92.10561944,1,4.0,2
19.64275,-102.1980556,1,1.0,2
19.868389,-100.0042778,1,1.0,2
25.202531,-100.9077778,1,4.0,2
16.654194,-95.9097,1,4.0,2
19.494222,-104.3910806,1,1.0,1
19.05744444,-99.48772222,1,1.0,2
24.217119,-106.05365,1,4.0,1
18.803056,-103.1795,1,2.0,3
21.39323889,-102.1172306,1,4.0,1
19.552522,-101.379025,4,1.0,1
15.461483,-93.11920833,15,2.0,2
26.124275,-106.5764944,1,1.0,2
16.317139,-93.63922222,1,4.0,2
17.647039,-101.5721556,13,1.0,1
18.998944,-99.36644444,1,1.0,2
21.689692,-102.2722028,7,1.0,1
19.561667,-99.09388889,1,1.0,2
26.465172,-106.4165083,1,2.0,1
19.874975,-100.0926083,1,2.0,2
19.654472,-100.2333611,1,1.0,1
18.975419,-99.97878889,1,1.0,2
16.048083,-93.11680556,1,2.0,2
18.58580556,-103.0394139,1,1.0,2
19.289889,-98.62066667,1,1.0,1
18.95175,-90.16941667,14,4.0,2
19.16885278,-103.6587361,13,1.0,2
19.291917,-100.2929444,1,1.0,3
19.738667,-101.2820556,1,1.0,2
16.82358611,-94.19919722,1,4.0,2
17.7311,-100.5587306,1,1.0,2
20.439092,-105.2747306,1,4.0,1
19.109528,-99.2345,1,1.0,1
17.369025,-100.0858556,1,4.0,2
19.198694,-100.0688889,1,1.0,2
24.046042,-105.9295778,1,7.0,2
20.272222,-104.0547222,1,1.0,1
20.875992,-102.9096083,1,1.0,2
20.900944,-103.4269167,1,1.0,1
21.177908,-101.097372,7,1.0,2
20.402778,-98.21194444,1,2.0,2
15.550167,-92.85307222,14,2.0,2
18.55170556,-99.58954722,1,4.0,1
19.387222,-97.79541667,16,1.0,1
22.127951,-104.1481117,1,2.0,1
20.496089,-103.4220194,13,1.0,1
20.908639,-89.73588889,14,4.0,2
19.315611,-97.22311111,1,2.0,1
16.70906111,-94.814475,14,2.0,2
21.499303,-99.21698056,1,7.0,3
18.319372,-92.79649167,15,2.0,2
19.323806,-98.72327778,1,1.0,1
26.761639,-107.0419806,1,4.0,2
31.819561,-116.0197278,2,1.0,1
19.323361,-100.0580556,1,1.0,1
27.903603,-107.7213833,1,2.0,2
26.01801389,-107.0840111,1,2.0,2
21.529278,-103.5417667,1,1.0,1
16.5075,-93.56083333,1,7.0,2
25.718808,-106.8865278,1,1.0,1
19.366583,-98.71691667,1,1.0,3
19.395444,-99.40541667,1,1.0,2
25.258333,-106.405,1,4.0,1
18.142569,-99.24573056,13,4.0,3
19.268694,-100.0528611,1,1.0,2
19.22,-101.457,1,1.0,2
18.95575,-99.29297222,1,1.0,1
19.121917,-99.00116667,1,1.0,2
18.917361,-100.1175556,1,1.0,1
19.928528,-99.96538889,1,1.0,2
18.792197,-99.94294167,1,1.0,3
16.639794,-97.72365556,1,7.0,2
